@relation 'gureKDD'
@attribute 'duration' real
@attribute 'service' real
@attribute 'flag' real
@attribute 'src_bytes' real
@attribute 'dst_bytes' real
@attribute 'wrong_fragment' real
@attribute 'urgent' real
@attribute 'hot' real
@attribute 'num_failed_logins' real
@attribute 'num_compromised' real
@attribute 'su_attempted' real
@attribute 'num_root' real
@attribute 'num_file_creations' real
@attribute 'num_shells' real
@attribute 'num_access_files' real
@attribute 'count' real
@attribute 'srv_count' real
@attribute 'dst_host_count' real
@attribute 'dst_host_srv_count' real
@attribute 'class' {'normal', 'anomaly'}
@data
23.775622,0,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.102520,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.106003,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.109581,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.113156,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.118594,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
52.620644,0,11,0,46,6,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
23.896329,0,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
23.832316,0,11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
25.057474,0,2,1,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
25.054326,0,2,1,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
24.729819,0,2,1,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
52.608968,0,2,1,77,5,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
52.614738,0,11,0,46,6,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
24.390809,0,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
24.022674,0,11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
7.175359,0,11,0,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.000000,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
24.732613,0,2,1,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.000000,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.000000,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
25.078402,0,2,1,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
25.047711,0,2,1,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
1.024426,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
1.023002,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
